"","Pnc_Serotype","2009","2010","2011","2012","2013","2014","2015"
"1","10A","4","14","2","5","7","2","9"
"2","10B","0","4","8","9","7","5","9"
"3","10C","0","0","1","1","0","0","0"
"4","10F","0","1","3","3","4","3","9"
"5","11A","10","15","21","17","14","14","27"
"6","11B","0","0","0","0","0","0","2"
"7","11C","0","0","0","0","1","0","0"
"8","12F","0","2","9","2","2","1","6"
"9","13","4","11","4","11","11","10","10"
"10","15A","10","18","14","20","13","10","20"
"11","15BC","19","39","44","40","37","35","35"
"12","15F","0","0","0","0","0","1","0"
"13","16F","10","33","23","28","36","29","28"
"14","17F","16","31","36","40","34","15","20"
"15","18A","2","1","2","3","3","1","0"
"16","19B","5","9","7","5","3","10","7"
"17","19C","0","0","0","0","1","0","0"
"18","2","0","0","0","1","1","1","0"
"19","20","0","2","2","4","1","0","2"
"20","21","4","14","15","22","13","11","9"
"21","22F","0","7","5","4","6","1","7"
"22","23A","5","14","9","9","10","14","10"
"23","23B","5","18","26","21","24","22","17"
"24","24A","0","0","1","0","0","0","0"
"25","24B","0","1","0","0","0","0","0"
"26","24F","2","3","8","8","6","5","2"
"27","25A","0","0","0","1","0","0","0"
"28","27","1","1","1","0","1","3","0"
"29","28A","1","0","1","1","0","0","2"
"30","29","0","0","0","0","1","1","1"
"31","31","0","4","5","9","2","3","4"
"32","33A","1","0","0","1","0","1","0"
"33","33B","0","0","0","0","0","0","2"
"34","33D","0","0","0","0","0","0","1"
"35","33F","4","10","11","10","4","5","6"
"36","34","7","13","13","14","11","9","11"
"37","35A","0","0","1","0","0","0","0"
"38","35B","18","35","27","14","23","19","12"
"39","35C","0","1","0","3","0","1","1"
"40","35F","0","1","0","2","1","2","4"
"41","38","3","6","2","7","5","3","4"
"42","42","0","2","0","0","1","0","0"
"43","46","2","0","1","0","0","0","0"
"44","6C","2","9","3","9","7","6","5"
"45","6D","2","0","1","0","1","0","0"
"46","7A","0","0","0","0","1","0","0"
"47","7B","0","0","1","7","7","5","4"
"48","7C","1","1","0","1","0","1","0"
"49","8","1","3","2","2","0","3","2"
"50","9A","1","1","1","0","0","0","0"
"51","9L","2","2","0","0","0","0","0"
"52","9N","1","1","4","5","20","32","17"
"53","REF","421","662","513","542","503","620","641"
