"","st","0","1","2"
"2","10A",0.118458527194375,0.272328416056321,0.312048841610468
"3","10B",NA,NA,NA
"4","10C",NA,NA,NA
"5","10F",0.07769883530593,0.306893916916531,0.314505510262963
"6","11A",0.0961739939525208,0.212611577353214,0.237181430973946
"7","11B",0.15196468444282,0.197789104832668,0.249169735910299
"8","11C",NA,NA,NA
"9","12A",NA,NA,NA
"10","12F",0.229180306927529,0.307042712976311,0.294574149279638
"11","13",0.154897159197649,0.297452371692849,0.427161419538175
"13","15A",0.103608054633692,0.314881775479502,0.351512622169409
"14","15BC",0.136008486442602,0.256235679921236,0.285670139465099
"15","15F",0.105931481590246,0.214561887173423,0.218601789039474
"16","16F",0.0969397906813696,0.185224361658702,0.193588070440146
"17","17F",0.104670065018407,0.259331855838244,0.286930755620633
"18","18A",0.170894598963804,0.261894640536487,0.269380037522592
"21","19B",NA,NA,NA
"22","19C",NA,NA,NA
"24","2",0.0967855930590297,0.22888965031683,0.299165985117463
"25","20",0.0534390441398405,0.180926055903376,0.21844713382389
"26","21",0.16217881805297,0.235053818052967,0.279553818052967
"27","22F",0.12321014850104,0.217395328927786,0.28270997751752
"28","23A",0.196993607268328,0.247774477268281,0.242774477268281
"29","23B",0.111713769562002,0.232936818786224,0.284936818786225
"31","24A",NA,NA,NA
"32","24B",NA,NA,NA
"33","24F",0.130826255326703,0.257326255326702,0.267826255326703
"34","25A",NA,NA,NA
"35","27",0.108381302331973,0.292714635665304,0.360381302331971
"36","28A",NA,NA,NA
"37","29",0.135833615563167,0.195566997801843,0.264185700885691
"39","31",0.126839486672543,0.196439630055661,0.205533842755042
"40","33A",NA,NA,NA
"41","33B",NA,NA,NA
"42","33D",NA,NA,NA
"43","33F",0.15191723875423,0.294032894075799,0.336378735690632
"44","34",0.125050396724013,0.26069117164213,0.297944292516364
"45","35A",0.100821385714182,0.252529562756657,0.246374303160543
"46","35B",0.103385328719973,0.256973314361668,0.37015946911222
"47","35C",NA,NA,NA
"48","35F",0.149090776032593,0.258861456826479,0.240236456826469
"49","37",0.109082028906451,0.228184339236725,0.270082028906448
"50","38",0.0832597786946095,0.200759778694606,0.27009311202794
"52","42",0.157170966880219,0.243966137475634,0.142299470808968
"53","46",NA,NA,NA
"57","6C",0.0512273246042136,0.262172122992984,0.244080548727359
"58","6D",0.11989171420054,0.254508133441059,0.364567279757334
"59","7A",NA,NA,NA
"60","7B",NA,NA,NA
"61","7C",0.115871216442643,0.299403581908634,0.39826844236234
"63","8",0.0507338913118548,0.152631943508099,0.128848540004795
"64","9A",NA,NA,NA
"65","9L",NA,NA,NA
"66","9N",0.179097227948068,0.240251531361385,0.235110910770309
